ind,Line,Station,Count,Longtitude,latitude,Station Name
104,NSL,NS21,86,103.8379853,1.312320099,Newton
105,NSL,NS22,86,103.8322453,1.303979874,Orchard
106,NSL,NS23,85,103.8390858,1.300264167,Somerset
107,NSL,NS24,86,103.8461152,1.298701306,Dhoby Ghaut
108,NSL,NS25,84,103.8525859,1.292936242,City Hall
109,NSL,NS26,89,103.8514617,1.28412561,Raffles Place
110,NSL,NS27,88,103.8545978,1.276427354,Marina Bay
111,NSL,NS28,32,103.8624475,1.271027036,Marina South Pier
112,CCL,CC1,18,103.8461152,1.298701306,Dhoby Ghaut
113,CCL,CC2,18,103.8506674,1.296861686,Bras Basah
114,CCL,CC3,18,103.8550812,1.293657725,Esplanade
115,CCL,CC4,22,103.86035,1.293998569,Promenade
116,CCL,CC5,19,103.863637,1.299766835,Nicoll Highway
117,CCL,CC6,19,103.8753377,1.302812468,Stadium
118,CCL,CC7,17,103.8825281,1.306201905,Mountbatten
119,CCL,CC8,16,103.8890647,1.308547984,Dakota
120,CCL,CC9,22,103.8930604,1.318112082,Paya Lebar
121,CCL,CC10,19,103.8892986,1.326150243,MacPherson
122,CCL,CC11,19,103.888433,1.335102085,Tai Seng
123,CCL,CC12,20,103.8801779,1.342501178,Bartley
124,CCL,CC13,20,103.8735748,1.349707875,Serangoon
125,CCL,CC14,20,103.8641519,1.351612171,Lorong Chuan
126,CCL,CC15,21,103.848144,1.350838988,Bishan
127,CCL,CC16,20,103.8394231,1.348707263,Marymount
128,CCL,CC17,32,103.8395298,1.337674508,Caldecott
129,CCL,CC19,31,103.8149845,1.322113736,Botanic Gardens
130,CCL,CC20,31,103.8073792,1.317439152,Farrer Road
131,CCL,CC21,29,103.7963991,1.312240296,Holland Village
132,CCL,CC22,21,103.7902535,1.307223708,Buona Vista
133,CCL,CC23,19,103.7874575,1.299759878,one-north
134,CCL,CC24,21,103.7845724,1.293536986,Kent Ridge
135,CCL,CC25,21,103.7817527,1.282571358,Haw Par Villa
136,CCL,CC26,21,103.7913503,1.276213522,Pasir Panjang
137,CCL,CC27,27,103.8026316,1.272254177,Labrador Park
138,CCL,CC28,27,103.8097616,1.270706477,Telok Blangah
139,CCL,CC29,27,103.8215302,1.265389384,HarbourFront
140,CCL,CE1,3,103.8590798,1.281873789,Bayfront
141,CCL,CE2,3,103.8545978,1.276427354,Marina Bay
